firstName,lastName,slotName,teamName
Nikola,Jokic,B,Denver Nuggets
Giannis,Antetokounmpo,W,Milwaukee Bucks
Luka,Doncic,G,Dallas Mavericks
Joel,Embiid,B,Philadelphia 76ers
Jayson,Tatum,W,Boston Celtics
Shai,Gilgeous-Alexander,G,Oklahoma City Thunder
Kevin,Durant,W,Phoenix Suns
Stephen,Curry,G,Golden State Warriors
Trae,Young,G,Atlanta Hawks
LaMelo,Ball,G,Charlotte Hornets
Tyrese,Haliburton,G,Indiana Pacers
Anthony,Edwards,G,Minnesota Timberwolves
Damian,Lillard,G,Portland Trail Blazers
Anthony,Davis,B,Los Angeles Lakers
James,Harden,G,Philadelphia 76ers
Domantas,Sabonis,B,Sacramento Kings
Devin,Booker,G,Phoenix Suns
LeBron,James,W,Los Angeles Lakers
Karl-Anthony,Towns,B,Minnesota Timberwolves
Jaylen,Brown,W,Boston Celtics
Donovan,Mitchell,G,Cleveland Cavaliers
Jaren,Jackson Jr.,B,Memphis Grizzlies
Pascal,Siakam,W,Toronto Raptors
Zion,Williamson,W,New Orleans Pelicans
Mikal,Bridges,W,Brooklyn Nets
De'Aaron,Fox,G,Sacramento Kings
Kawhi,Leonard,W,Los Angeles Clippers
Jamal,Murray,G,Denver Nuggets
Cade,Cunningham,G,Detroit Pistons
Bam,Adebayo,B,Miami Heat
Jimmy,Butler,W,Miami Heat
Paul,George,W,Los Angeles Clippers
Jalen,Brunson,G,New York Knicks
Victor,Wembanyama,B,San Antonio Spurs
Lauri,Markkanen,W,Utah Jazz
Kyrie,Irving,G,Dallas Mavericks
Brandon,Ingram,W,New Orleans Pelicans
DeMar,DeRozan,W,Chicago Bulls
Julius,Randle,W,New York Knicks
Dejounte,Murray,G,Atlanta Hawks
Evan,Mobley,B,Cleveland Cavaliers
Bradley,Beal,G,Phoenix Suns
Darius,Garland,G,Cleveland Cavaliers
Kristaps,Porzingis,B,Boston Celtics
Desmond,Bane,G,Memphis Grizzlies
Paolo,Banchero,W,Orlando Magic
Zach,LaVine,G,Chicago Bulls
Josh,Giddey,G,Oklahoma City Thunder
Fred,VanVleet,G,Houston Rockets
Nic,Claxton,B,Brooklyn Nets
Jrue,Holiday,G,Milwaukee Bucks
Nikola,Vucevic,B,Chicago Bulls
Jordan,Poole,G,Washington Wizards
CJ,McCollum,G,New Orleans Pelicans
Scottie,Barnes,W,Toronto Raptors
Ja,Morant,G,Memphis Grizzlies
Myles,Turner,B,Indiana Pacers
Deandre,Ayton,B,Phoenix Suns
Rudy,Gobert,B,Minnesota Timberwolves
Khris,Middleton,W,Milwaukee Bucks
Tyrese,Maxey,G,Philadelphia 76ers
Kyle,Kuzma,W,Washington Wizards
Jalen,Green,G,Houston Rockets
Alperen,Sengun,B,Houston Rockets
O.G.,Anunoby,W,Toronto Raptors
Scoot,Henderson,G,Portland Trail Blazers
Andrew,Wiggins,W,Golden State Warriors
Jarrett,Allen,B,Cleveland Cavaliers
Keldon,Johnson,W,San Antonio Spurs
Jalen,Williams,G,Oklahoma City Thunder
Walker,Kessler,B,Utah Jazz
Franz,Wagner,W,Orlando Magic
Klay,Thompson,G,Golden State Warriors
Brandon,Miller,W,Charlotte Hornets
Michael,Porter,W,Denver Nuggets
Tyler,Herro,G,Miami Heat
Jabari,Smith,W,Houston Rockets
Chet,Holmgren,B,Oklahoma City Thunder
Jonas,Valanciunas,B,New Orleans Pelicans
Keegan,Murray,W,Sacramento Kings
Jakob,Poeltl,B,Toronto Raptors
Jerami,Grant,W,Portland Trail Blazers
Devin,Vassell,G,San Antonio Spurs
Russell,Westbrook,G,Los Angeles Clippers
Chris,Paul,G,Golden State Warriors
Tobias,Harris,W,Philadelphia 76ers
Ausar,Thompson,W,Detroit Pistons
Buddy,Hield,G,Indiana Pacers
Clint,Capela,B,Atlanta Hawks
Amen,Thompson,G,Houston Rockets
Wendell,Carter Jr.,B,Orlando Magic
Draymond,Green,W,Golden State Warriors
Derrick,White,G,Boston Celtics
Anfernee,Simons,G,Portland Trail Blazers
Kevin,Porter Jr.,G,Houston Rockets
RJ,Barrett,W,New York Knicks
Marcus,Smart,G,Memphis Grizzlies
Austin,Reaves,G,Los Angeles Lakers
Jaden,Ivey,G,Detroit Pistons
Christian,Wood,B,
Spencer,Dinwiddie,G,Brooklyn Nets
D'Angelo,Russell,G,Los Angeles Lakers
Brook,Lopez,B,Milwaukee Bucks
Miles,Bridges,W,Charlotte Hornets
Jusuf,Nurkic,B,Portland Trail Blazers
John,Collins,W,Utah Jazz
Aaron,Gordon,W,Denver Nuggets
Cole,Anthony,G,Orlando Magic
P.J.,Washington,W,
Terry,Rozier,G,Charlotte Hornets
Jordan,Clarkson,G,Utah Jazz
Gordon,Hayward,W,Charlotte Hornets
Josh,Hart,W,New York Knicks
Mitchell,Robinson,B,New York Knicks
Collin,Sexton,G,Utah Jazz
Cam,Johnson,W,Brooklyn Nets
Malcolm,Brogdon,G,Boston Celtics
Bennedict,Mathurin,G,Indiana Pacers
Anthony,Black,G,Orlando Magic
Al,Horford,B,Boston Celtics
Gary,Trent Jr.,G,Toronto Raptors
Tre,Jones,G,San Antonio Spurs
Tyus,Jones,G,Washington Wizards
Ben,Simmons,G,Brooklyn Nets
Harrison,Barnes,W,Sacramento Kings
Shaedon,Sharpe,G,Portland Trail Blazers
Onyeka,Okongwu,B,Atlanta Hawks
James,Wiseman,B,Detroit Pistons
Brandon,Clarke,W,Memphis Grizzlies
Markelle,Fultz,G,Orlando Magic
De'Andre,Hunter,W,Atlanta Hawks
Kyle,Lowry,G,Miami Heat
Bobby,Portis,B,Milwaukee Bucks
Dillon,Brooks,G,Houston Rockets
Robert,Williams,B,Boston Celtics
Steven,Adams,B,Memphis Grizzlies
Bojan,Bogdanovic,W,Detroit Pistons
Ivica,Zubac,B,Los Angeles Clippers
Caris,LeVert,G,Cleveland Cavaliers
Jeremy,Sochan,W,San Antonio Spurs
Kelly,Oubre,W,
Mark,Williams,B,Charlotte Hornets
Kevon,Looney,B,Golden State Warriors
Bruce,Brown,W,Indiana Pacers
Herbert,Jones,W,New Orleans Pelicans
Jarred,Vanderbilt,W,Los Angeles Lakers
Lu,Dort,W,Oklahoma City Thunder
Jonathan,Kuminga,W,Golden State Warriors
Immanuel,Quickley,G,New York Knicks
Saddiq,Bey,W,Atlanta Hawks
Jalen,Duren,B,Detroit Pistons
Chris,Duarte,W,Sacramento Kings
Cam,Whitmore,W,Houston Rockets
Jalen,Suggs,G,Orlando Magic
Daniel,Gafford,B,Washington Wizards
Tari,Eason,W,Houston Rockets
Monte,Morris,G,Detroit Pistons
Deni,Avdija,W,Washington Wizards
Kevin,Huerter,G,Sacramento Kings
Mike,Conley,G,Minnesota Timberwolves
Jaden,McDaniels,W,Minnesota Timberwolves
Rui,Hachimura,W,Los Angeles Lakers
Isaiah,Stewart,B,Detroit Pistons
Patrick,Williams,W,Chicago Bulls
Trey,Murphy,W,New Orleans Pelicans
Jae'Sean,Tate,W,Houston Rockets
Jarace,Walker,W,Indiana Pacers
Bilal,Coulibaly,W,Washington Wizards
Norman,Powell,G,Los Angeles Clippers
Dorian,Finney-Smith,W,Brooklyn Nets
Bogdan,Bogdanovic,G,Atlanta Hawks
Davion,Mitchell,G,Sacramento Kings
Tim,Hardaway,G,Dallas Mavericks
Ayo,Dosunmu,G,
Kyle,Anderson,W,Minnesota Timberwolves
Kelly,Olynyk,B,Utah Jazz
Obi,Toppin,W,Indiana Pacers
Malik,Monk,G,Sacramento Kings
Caleb,Martin,W,Miami Heat
Talen,Horton-Tucker,G,Utah Jazz
Dennis,Schroder,G,Toronto Raptors
Isaiah,Hartenstein,B,New York Knicks
De'Anthony,Melton,G,Philadelphia 76ers
Kevin,Love,W,Miami Heat
Andre,Drummond,B,Chicago Bulls
Kentavious,Caldwell-Pope,G,Denver Nuggets
Taylor,Hendricks,W,Utah Jazz
Jonathan,Isaac,W,Orlando Magic
Max,Strus,W,Cleveland Cavaliers
Bol,Bol,W,Phoenix Suns
Seth,Curry,G,Dallas Mavericks
Grant,Williams,W,Dallas Mavericks
Mason,Plumlee,B,Los Angeles Clippers
Jalen,Johnson,W,Atlanta Hawks
Alex,Caruso,G,Chicago Bulls
Naz,Reid,B,Minnesota Timberwolves
Aleksej,Pokusevski,W,Oklahoma City Thunder
Jalen,Smith,W,Indiana Pacers
Keyonte,George,G,Utah Jazz
Isaiah,Jackson,B,Indiana Pacers
Patrick,Beverley,G,Philadelphia 76ers
Nikola,Jovic,W,Miami Heat
John,Wall,G,
Mo,Bamba,B,Philadelphia 76ers
Cam,Payne,G,San Antonio Spurs
Victor,Oladipo,G,Oklahoma City Thunder
Bones,Hyland,G,Los Angeles Clippers
Christian,Braun,G,Denver Nuggets
Precious,Achiuwa,B,Toronto Raptors
Zach,Collins,B,San Antonio Spurs
Ochai,Agbaji,G,Utah Jazz
Marvin,Bagley,W,Detroit Pistons
Jose,Alvarado,G,New Orleans Pelicans
Reggie,Jackson,G,Denver Nuggets
Devonte',Graham,G,San Antonio Spurs
Malik,Beasley,G,Milwaukee Bucks
Cam,Thomas,G,Brooklyn Nets
Killian,Hayes,G,Detroit Pistons
T.J.,Warren,W,
Jaylin,Williams,W,Oklahoma City Thunder
Chris,Boucher,B,Toronto Raptors
Donte,DiVincenzo,G,New York Knicks
Johnny,Davis,G,Washington Wizards
Jaden,Hardy,G,Dallas Mavericks
Yuta,Watanabe,W,Phoenix Suns
Emoni,Bates,W,Cleveland Cavaliers
Evan,Fournier,G,New York Knicks
Duncan,Robinson,W,Miami Heat
Aleksandar,Vezenkov,W,Sacramento Kings
Max,Christie,G,Los Angeles Lakers
Lonzo,Ball,G,Chicago Bulls
Richaun,Holmes,B,Dallas Mavericks
Day'Ron,Sharpe,B,Brooklyn Nets
Lonnie,Walker,G,Brooklyn Nets
Jalen,McDaniels,W,Toronto Raptors
Montrezl,Harrell,B,Philadelphia 76ers
Thomas,Bryant,B,Miami Heat
Payton,Pritchard,G,Boston Celtics
Cam,Reddish,W,Los Angeles Lakers
Santi,Aldama,W,Memphis Grizzlies
Cason,Wallace,G,Oklahoma City Thunder
Dyson,Daniels,G,New Orleans Pelicans
Royce,O'Neale,W,Brooklyn Nets
Eric,Gordon,G,Phoenix Suns
T.J.,McConnell,G,Indiana Pacers
Gary,Payton II,G,Golden State Warriors
Malaki,Branham,W,San Antonio Spurs
Gabe,Vincent,G,Los Angeles Lakers
Jevon,Carter,G,Chicago Bulls
Quentin,Grimes,G,New York Knicks
David,Roddy,W,Memphis Grizzlies
Toumani,Camara,W,Phoenix Suns
Kendrick,Nunn,G,Washington Wizards
Paul,Reed,B,Philadelphia 76ers
Tre,Mann,G,Oklahoma City Thunder
Xavier,Tillman,B,Memphis Grizzlies
Kobe,Brown,W,Los Angeles Clippers
Isaiah,Mobley,W,Cleveland Cavaliers
Vasilije,Micic,G,Oklahoma City Thunder
Ousmane,Dieng,W,Oklahoma City Thunder
MarJon,Beauchamp,W,Milwaukee Bucks
Dereck,Lively,B,Dallas Mavericks
Jeremiah,Robinson-Earl,W,Oklahoma City Thunder
Josh,Richardson,G,Miami Heat
Peyton,Watson,G,Denver Nuggets
Aaron,Nesmith,W,Indiana Pacers
AJ,Griffin,W,Atlanta Hawks
Jordan,Hawkins,G,New Orleans Pelicans
Cody,Martin,W,Charlotte Hornets
Derrick,Rose,G,Memphis Grizzlies
Corey,Kispert,W,Washington Wizards
Brandin,Podziemski,G,Golden State Warriors
Josh,Okogie,G,Phoenix Suns
Darius,Bazley,W,Brooklyn Nets
Andrew,Nembhard,G,Indiana Pacers
Olivier-Maxence,Prosper,W,Dallas Mavericks
Will,Barton,G,
Robert,Covington,W,Los Angeles Clippers
JaVale,McGee,B,Dallas Mavericks
Oshae,Brissett,W,Boston Celtics
Joe,Harris,G,Detroit Pistons
Josh,Christopher,G,Memphis Grizzlies
Matisse,Thybulle,G,Portland Trail Blazers
Josh,Primo,G,
P.J.,Tucker,W,Philadelphia 76ers
Nassir,Little,W,Portland Trail Blazers
Coby,White,G,Chicago Bulls
Jordan,McLaughlin,G,Minnesota Timberwolves
Nickeil,Alexander-Walker,G,Minnesota Timberwolves
Marcus,Morris,W,Los Angeles Clippers
Ziaire,Williams,W,Memphis Grizzlies
Moses,Moody,G,Golden State Warriors
Larry,Nance Jr.,W,New Orleans Pelicans
Jaylen,Nowell,G,
Rudy,Gay,W,Oklahoma City Thunder
Patty,Mills,G,Atlanta Hawks
DeAndre,Jordan,B,Denver Nuggets
Jordan,Nwora,W,Indiana Pacers
Ricky,Rubio,G,Cleveland Cavaliers
Jae,Crowder,W,Milwaukee Bucks
Jaylen,Hoard,W,
Pat,Connaughton,G,Milwaukee Bucks
Maxi,Kleber,W,Dallas Mavericks
TyTy,Washington,G,Oklahoma City Thunder
Bryn,Forbes,G,
Kenyon,Martin,W,Los Angeles Clippers
James,Bouknight,G,Charlotte Hornets
Luke,Kennard,G,Memphis Grizzlies
Kemba,Walker,G,
Cedi,Osman,W,San Antonio Spurs
Ish,Smith,G,
Reggie,Bullock,W,San Antonio Spurs
Danny,Green,G,
Terance,Mann,G,Los Angeles Clippers
Grayson,Allen,G,Milwaukee Bucks
Noah,Vonleh,W,
John,Konchar,G,Memphis Grizzlies
Gary,Harris,G,Orlando Magic
Damian,Jones,B,Cleveland Cavaliers
Marko,Simonovic,B,
Doug,McDermott,W,San Antonio Spurs
Terry,Taylor,W,
Joe,Ingles,W,Orlando Magic
Hamidou,Diallo,G,
Bruno,Fernando,B,Atlanta Hawks
Isaac,Okoro,W,Cleveland Cavaliers
Thanasis,Antetokounmpo,W,
Frank,Ntilikina,G,
Derrick,Jones Jr.,W,
Blake,Griffin,W,Boston Celtics
Javonte,Green,G,
Alec,Burks,G,Detroit Pistons
Danilo,Gallinari,W,Washington Wizards
Vit,Krejci,G,Atlanta Hawks
Tyrese,Martin,G,Atlanta Hawks
Garrison,Mathews,G,Atlanta Hawks
RaiQuan,Gray,W,Brooklyn Nets
Edmond,Sumner,G,Brooklyn Nets
Luke,Kornet,B,Boston Celtics
Sam,Hauser,W,Boston Celtics
Justin,Champagnie,W,Boston Celtics
Kai,Jones,B,Charlotte Hornets
Nick,Richards,B,Charlotte Hornets
JT,Thor,W,Charlotte Hornets
Kobi,Simmons,G,Charlotte Hornets
Bryce,McGowens,G,Charlotte Hornets
Justin,Lewis,W,Chicago Bulls
Carlik,Jones,G,Chicago Bulls
Dalen,Terry,G,Chicago Bulls
Dean,Wade,W,Cleveland Cavaliers
Sam,Merrill,G,Cleveland Cavaliers
Josh,Green,G,Dallas Mavericks
A.J.,Lawson,G,Dallas Mavericks
Vlatko,Cancar,W,Denver Nuggets
Zeke,Nnaji,B,Denver Nuggets
Isaiah,Livers,W,Detroit Pistons
Eugene,Omoruyi,W,Washington Wizards
Usman,Garuba,W,Oklahoma City Thunder
Daishen,Nix,G,
Daniel,Theis,B,Indiana Pacers
Jason,Preston,G,Los Angeles Clippers
Nicolas,Batum,W,Los Angeles Clippers
Brandon,Boston Jr.,G,Los Angeles Clippers
Amir,Coffey,G,Los Angeles Clippers
Cole,Swider,W,Los Angeles Lakers
Shaquille,Harrison,G,
Jake,LaRavia,W,Memphis Grizzlies
Kenneth,Lofton,W,Memphis Grizzlies
Vince,Williams,G,Memphis Grizzlies
Haywood,Highsmith,W,Miami Heat
Lindell,Wigginton,G,Milwaukee Bucks
Nathan,Knight,W,Minnesota Timberwolves
Josh,Minott,W,Minnesota Timberwolves
Wendell,Moore,G,Minnesota Timberwolves
Willy,Hernangomez,B,New Orleans Pelicans
E.J.,Liddell,W,New Orleans Pelicans
Kira,Lewis,G,New Orleans Pelicans
Naji,Marshall,W,New Orleans Pelicans
Dereon,Seabron,G,New Orleans Pelicans
Garrett,Temple,G,
Jericho,Sims,B,New York Knicks
Isaiah,Roby,W,New York Knicks
Miles,McBride,G,New York Knicks
DaQuan,Jeffries,G,New York Knicks
Davis,Bertans,W,Oklahoma City Thunder
Kenrich,Williams,W,Oklahoma City Thunder
Isaiah,Joe,G,Oklahoma City Thunder
Lindy,Waters,G,Oklahoma City Thunder
Aaron,Wiggins,G,Oklahoma City Thunder
Goga,Bitadze,B,Orlando Magic
Chuma,Okeke,W,Orlando Magic
Admiral,Schofield,W,Orlando Magic
Michael,Carter-Williams,G,Orlando Magic
Caleb,Houstan,W,Orlando Magic
Kevon,Harris,G,Orlando Magic
Jaden,Springer,G,Philadelphia 76ers
Danuel,House,W,Philadelphia 76ers
Furkan,Korkmaz,G,Philadelphia 76ers
Isaiah,Todd,W,Memphis Grizzlies
Jordan,Goodwin,G,Phoenix Suns
Ish,Wainright,W,Phoenix Suns
Trendon,Watford,W,
Kevin,Knox,W,Portland Trail Blazers
Jabari,Walker,W,Portland Trail Blazers
Keon,Johnson,G,Portland Trail Blazers
Skylar,Mays,G,
Kessler,Edwards,W,Sacramento Kings
PJ,Dozier,G,
Charles,Bassey,B,San Antonio Spurs
Khem,Birch,B,San Antonio Spurs
Blake,Wesley,G,San Antonio Spurs
Christian,Koloko,B,Toronto Raptors
Thaddeus,Young,W,Toronto Raptors
Malachi,Flynn,G,Toronto Raptors
Otto,Porter,W,Toronto Raptors
Joe,Wieskamp,W,
Vernon,Carey,B,
Micah,Potter,B,Utah Jazz
Luka,Samanic,W,Utah Jazz
Kris,Dunn,G,Utah Jazz
